customer_id,num_orders_x,total_revenue_x,days_since_last_tx,recency_days,frequency,monetary,recency_q,frequency_q,monetary_q,RFM_score,total_revenue_y,num_orders_y
12350,1,334.40000000000003,309,309,1,334.40000000000003,2,1,1,4,334.40000000000003,1
12351,1,300.93,374,374,1,300.93,2,1,1,4,300.93,1
12353,2,406.75999999999993,203,203,2,406.75999999999993,2,2,2,6,406.75999999999993,2
12354,1,1079.4,231,231,1,1079.4,2,1,3,6,1079.4,1
12363,2,552.0,109,109,2,552.0,2,2,2,6,552.0,2
12365,2,641.38,290,290,2,641.38,2,2,2,6,641.38,2
12366,1,500.24,633,633,1,500.24,1,1,2,4,500.24,1
12368,1,917.6999999999999,627,627,1,917.6999999999999,1,1,3,5,917.6999999999999,1
12369,3,1791.15,412,412,3,1791.15,1,2,3,6,1791.15,3
12376,2,503.15,389,389,2,503.15,1,2,2,5,503.15,2
12385,1,1938.3999999999999,378,378,1,1938.3999999999999,2,1,3,6,1938.3999999999999,1
12386,2,660.8,337,337,2,660.8,2,2,2,6,660.8,2
12387,1,143.94,414,414,1,143.94,1,1,1,3,143.94,1
12389,3,1433.33,402,402,3,1433.33,1,2,3,6,1433.33,3
12390,1,549.8399999999999,79,79,1,549.8399999999999,3,1,2,6,549.8399999999999,1
12392,1,234.75000000000003,590,590,1,234.75000000000003,1,1,1,3,234.75000000000003,1
12396,1,931.4300000000006,673,673,1,931.4300000000006,1,1,3,5,931.4300000000006,1
12400,1,205.25,413,413,1,205.25,1,1,1,3,205.25,1
12401,1,84.3,302,302,1,84.3,2,1,1,4,84.3,1
12404,1,63.24,681,681,1,63.24,1,1,1,3,63.24,1
12405,1,1710.3900000000006,148,148,1,1710.3900000000006,2,1,3,6,1710.3900000000006,1
12411,1,346.9,409,409,1,346.9,1,1,1,3,346.9,1
12416,1,202.56,656,656,1,202.56,1,1,1,3,202.56,1
12419,2,503.01,385,385,2,503.01,1,2,2,5,503.01,2
12420,1,600.3900000000001,63,63,1,600.3900000000001,3,1,2,6,600.3900000000001,1
12436,1,509.01000000000005,99,99,1,509.01000000000005,2,1,2,5,509.01000000000005,1
12439,2,1158.18,682,682,2,1158.18,1,2,3,6,1158.18,2
12440,2,859.2000000000002,461,461,2,859.2000000000002,1,2,2,5,859.2000000000002,2
12441,1,347.09999999999997,366,366,1,347.09999999999997,2,1,1,4,347.09999999999997,1
12443,1,485.31000000000006,731,731,1,485.31000000000006,1,1,2,4,485.31000000000006,1
12447,1,476.49,242,242,1,476.49,2,1,2,5,476.49,1
12453,1,707.0899999999999,133,133,1,707.0899999999999,2,1,2,5,707.0899999999999,1
12459,1,454.3599999999999,604,604,1,454.3599999999999,1,1,2,4,454.3599999999999,1
12460,1,326.65,455,455,1,326.65,1,1,1,3,326.65,1
12466,1,56.73,681,681,1,56.73,1,1,1,3,56.73,1
12467,1,132.79999999999998,422,422,1,132.79999999999998,1,1,1,3,132.79999999999998,1
12470,1,211.95000000000002,689,689,1,211.95000000000002,1,1,1,3,211.95000000000002,1
12485,1,708.0999999999999,528,528,1,708.0999999999999,1,1,2,4,708.0999999999999,1
12486,1,1037.2800000000002,431,431,1,1037.2800000000002,1,1,3,5,1037.2800000000002,1
12487,1,285.29999999999995,730,730,1,285.29999999999995,1,1,1,3,285.29999999999995,1
12489,1,334.92999999999995,335,335,1,334.92999999999995,2,1,1,4,334.92999999999995,1
12493,2,433.74,165,165,2,433.74,2,2,2,6,433.74,2
12495,1,357.4,640,640,1,357.4,1,1,2,4,357.4,1
12496,2,54.09,619,619,2,54.09,1,2,1,4,54.09,2
12499,1,393.71999999999997,559,559,1,393.71999999999997,1,1,2,4,393.71999999999997,1
12501,1,2169.3899999999994,336,336,1,2169.3899999999994,2,1,3,6,2169.3899999999994,1
12503,1,1126.0,583,583,1,1126.0,1,1,3,5,1126.0,1
