Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
560590,23004,TRAVEL CARD WALLET PANTRY,24,,0.42,12560.0,Germany
549537,22939,APRON APPLE DELIGHT,1,2011-08-04 17:22:00,4.95,,United Kingdom
534860,22594,CHRISTMAS GINGHAM TREE,12,,0.85,15271.0,United Kingdom
501176,21726,MULTI HEARTS  STICKERS,12,,0.85,14857.0,United Kingdom
541133,M,Manual,1,,2.5,,United Kingdom
536587,21986,PACK OF 12 PINK POLKADOT TISSUES,24,2010-01-12 16:33:00,0.29,14142.0,United Kingdom
578942,23202,JUMBO BAG VINTAGE LEAF,1,,2.08,17288.0,United Kingdom
526738,20977,36 PENCILS TUBE WOODLAND,1,2010-12-10 18:02:00,2.51,,United Kingdom
580304,22802,FAUX FUR CHOCOLATE THROW,5,2011-02-12 14:25:00,7.95,18055.0,United Kingdom
514218,21403,BLUE EGG  SPOON,24,2010-01-07 08:57:00,0.42,14911.0,EIRE
566602,22629,SPACEBOY LUNCH BOX ,2,,1.95,,United Kingdom
509040,22381,TOY TIDY PINK RETROSPOT  ,15,,2.1,16351.0,United Kingdom
535586,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,,3.75,12928.0,United Kingdom
562587,22988,SOLDIERS EGG CUP ,12,2011-07-08 14:34:00,1.25,15640.0,United Kingdom
560018,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,,0.42,15987.0,United Kingdom
575880,21094,SET/6 RED SPOTTY PAPER PLATES,36,2011-11-11 13:35:00,0.85,12726.0,France
566787,21912,VINTAGE SNAKES & LADDERS,1,,7.46,,United Kingdom
575176,22575,METAL MERRY CHRISTMAS WREATH,1,2011-08-11 18:29:00,4.13,,United Kingdom
580632,22653,BUTTON BOX ,4,2011-05-12 12:16:00,1.95,16360.0,United Kingdom
552251,22742,MAKE YOUR OWN PLAYTIME CARD KIT,1,2011-06-05 20:00:00,2.95,12748.0,United Kingdom
521970,20978,36 PENCILS TUBE SKULLS,1,2010-09-09 19:23:00,1.25,17282.0,United Kingdom
511115,21590,KINGS CHOICE CIGAR BOX MATCHES ,24,2010-07-06 10:39:00,1.25,13078.0,United Kingdom
576696,23558,LANDMARK FRAME LONDON BRIDGE ,3,,12.5,16669.0,United Kingdom
542126,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,,0.55,13001.0,United Kingdom
548176,85204,HANGING WOOD AND FELT FLOWER,5,,0.42,13439.0,United Kingdom
514962,22215,CAKE STAND WHITE TWO TIER LACE,12,2010-07-07 12:08:00,7.65,14156.0,EIRE
581219,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-08-12 09:28:00,8.29,,United Kingdom
527436,21212,PACK OF 72 RETROSPOT CAKE CASES,24,,0.55,15786.0,United Kingdom
503553,22146,,74,2010-01-04 15:18:00,0.0,,United Kingdom
560926,51014A,"FEATHER PEN,HOT PINK",1,,0.83,,United Kingdom
545024,21888,BINGO SET,1,,7.46,,United Kingdom
489782,17109C,FLOWER FAIRY INCENSE ROSE,4,2009-02-12 11:45:00,1.69,17189.0,United Kingdom
579777,23356,LOVE HOT WATER BOTTLE,2,,12.46,,United Kingdom
577010,22385,JUMBO BAG SPACEBOY DESIGN,1,,2.08,15506.0,United Kingdom
501907,21668,RED STRIPE CERAMIC DRAWER KNOB,6,,1.25,13451.0,United Kingdom
562593,22994,TRAVEL CARD WALLET RETROSPOT,4,2011-07-08 15:43:00,0.42,16549.0,United Kingdom
575177,84946,ANTIQUE SILVER T-LIGHT GLASS,7,2011-08-11 18:41:00,2.46,,United Kingdom
530410,21667,GLASS CAKE COVER AND PLATE,1,2010-02-11 18:16:00,16.95,12855.0,United Kingdom
539475,22747,POPPY'S PLAYHOUSE BATHROOM,2,,2.1,16686.0,United Kingdom
523014,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,,5.06,,United Kingdom
547042,21714,CITRONELLA CANDLE GARDEN POT,4,,2.46,,United Kingdom
578117,21899,GARAGE KEY FOB,24,,0.65,14334.0,United Kingdom
567183,23236,STORAGE TIN VINTAGE DOILY ,2,,2.89,14769.0,United Kingdom
544463,90026D,GLASS BEAD HOOP NECKLACE AMETHYST,1,,8.5,12988.0,United Kingdom
501907,22321,BIRD DECORATION RED SPOT,10,,0.85,13451.0,United Kingdom
561485,22222,CAKE PLATE LOVEBIRD WHITE,2,,4.95,17841.0,United Kingdom
504519,21232,STRAWBERRY CERAMIC TRINKET BOX,4,,1.25,15563.0,United Kingdom
578927,23333,IVORY WICKER HEART MEDIUM,6,,1.25,15747.0,United Kingdom
557469,22796,PHOTO FRAME 3 CLASSIC HANGING,1,,9.95,12904.0,United Kingdom
539196,82482,WOODEN PICTURE FRAME WHITE FINISH,6,,2.55,18055.0,United Kingdom
516868,22371,AIRLINE BAG VINTAGE TOKYO 78,4,,6.35,13089.0,United Kingdom
576079,22283,6 EGG HOUSE PAINTED WOOD,2,,7.95,16877.0,United Kingdom
514676,22439,6 ROCKET BALLOONS ,10,2010-05-07 13:34:00,0.65,14606.0,United Kingdom
565767,22382,LUNCH BAG SPACEBOY DESIGN ,15,2011-06-09 14:28:00,4.96,,United Kingdom
538108,21802,CHRISTMAS TREE HEART DECORATION,36,2010-09-12 15:23:00,0.42,17456.0,United Kingdom
538808,20963,APPLE BATH SPONGE,10,,1.25,14057.0,United Kingdom
559515,84519A,TOMATO CHARLIE+LOLA COASTER SET,1,2011-08-07 15:58:00,5.79,,United Kingdom
571441,21786,POLKADOT RAIN HAT ,1,,0.83,14096.0,United Kingdom
496916,POST,POSTAGE,1,2010-04-02 15:33:00,51.0,12490.0,France
503430,21580,RABBIT  DESIGN  COTTON TOTE BAG,6,2010-01-04 07:49:00,2.25,13361.0,United Kingdom
573999,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2011-02-11 11:43:00,2.95,12779.0,Poland
